Authors,Source,Title,Year,Ni (at.%),Ti (at.%),ev/a (Number of Valence Electrons),composition,Hf (at.%)
F. Yang; D. Coughlin; P. Phillips; L. Yang; M. Mills and R. Noebe,Microscopy and Microanalysis,High Resolution Microscopy Analysis of a New Precipitate Phase in Ni-rich NiTiHf and NiPdTiHf High Temperature Shape Memory Alloys,2012.0,29.7,50.3,5.782,Ni29.7Ti50.3Hf20.0 %,20.0
H. O. Mosca; G. Bozzolo and M. F. del Grosso,Physica B: Condensed Matter,Atomistic modeling of ternary additions to NiTi and quaternary additions to Ni–Ti–Pd; Ni–Ti–Pt and Ni–Ti–Hf shape memory alloys,2012.0,30.0,50.0,5.8,Ni30.0Ti50.0Hf20.0 %,20.0
M. Zarinejad; Y. Liu and T. J. White,Intermetallics,The crystal chemistry of martensite in NiTiHf shape memory alloys,2008.0,35.0,50.0,6.1,Ni35.0Ti50.0Hf15.0 %,15.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,36.0,49.0,6.16,Ni36.0Ti49.0Hf15.0 %,15.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,40.0,50.0,6.4,Ni40.0Ti50.0Hf10.0 %,10.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,40.0,30.0,6.4,Ni40.0Ti30.0Hf30.0 %,30.0
J. Rao; T. Roberts; K. Lawson and J. Nicholls,Surface and Coatings Technology,Nickel titanium and nickel titanium hafnium shape memory alloy thin films,2010.0,40.0,30.0,6.4,Ni40.0Ti30.0Hf30.0 %,30.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,40.0,50.0,6.4,Ni40.0Ti50.0Hf10.0 %,10.0
S. Besseghini; E. Villa and A. Tuissi,Materials Science and Engineering: A,Ni-Ti-Hf shape memory alloy: effect of aging and thermal cycling,1999.0,40.0,50.0,6.4,Ni40.0Ti50.0Hf10.0 %,10.0
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,53.6,6.4,Ni40.0Ti53.6Hf6.4 %,6.4
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,51.7,6.4,Ni40.0Ti51.7Hf8.3 %,8.3
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,50.7,6.4,Ni40.0Ti50.7Hf9.3 %,9.3
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,48.3,6.4,Ni40.0Ti48.3Hf11.7 %,11.7
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,45.7,6.4,Ni40.0Ti45.7Hf14.3 %,14.3
D. König; R. Zarnetta; A. Savan; H. Brunken and A. Ludwig,Acta Materialia,Phase transformation; structural and functional fatigue properties of Ti–Ni–Hf shape memory thin films,2011.0,40.0,43.2,6.4,Ni40.0Ti43.2Hf16.8 %,16.8
D. Angst; P. Thoma and M. Kao,Journal de Physique IV,The Effect of Hafnium Content on the Transformation Temperatures of Ni49Ti51-xHfx. Shape Memory Alloys,1995.0,40.0,50.0,6.4,Ni40.0Ti50.0Hf10.0 %,10.0
Y. Tong; F. Chen; B. Tian; L. Li and Y. Zheng,Materials Letters,Microstructure and martensitic transformation of Ti49Ni51−xHfx high temperature shape memory alloys,2009.0,41.0,49.0,6.46,Ni41.0Ti49.0Hf10.0 %,10.0
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,41.5,43.3,6.49,Ni41.5Ti43.3Hf15.2 %,15.2
Y. Motemani; P. J. McCluskey; C. Zhao; M. J. Tan and J. J. Vlassak,Acta Materialia,Analysis of Ti–Ni–Hf shape memory alloys by combinatorial nanocalorimetry,2011.0,41.9,41.9,6.514,Ni41.9Ti41.9Hf16.2 %,16.2
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,6.52,Ni42.0Ti48.0Hf10.0 %,10.0
