Authors,Source,Title,Year,Ni (at.%),Ti (at.%),Heat Treat 2 Temperature (°C),composition,Hf (at.%)
M. Zarinejad; Y. Liu and T. J. White,Intermetallics,The crystal chemistry of martensite in NiTiHf shape memory alloys,2008.0,35.0,50.0,950.0,Ni35.0Ti50.0Hf15.0 %,15.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,40.0,50.0,600.0,Ni40.0Ti50.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,300.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,400.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,500.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,600.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,700.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,800.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,300.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,400.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,500.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,600.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,700.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,800.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,300.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,400.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,500.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,600.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,700.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,800.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,300.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,400.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,500.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,600.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,700.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,800.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,300.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,400.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,500.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,600.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,700.0,Ni42.0Ti48.0Hf10.0 %,10.0
C. Zhang; P. E. Thoma and R. H. Zee,Materials Research Society,High Hf content NiTiHf Shape Memory Alloys,2000.0,42.0,48.0,800.0,Ni42.0Ti48.0Hf10.0 %,10.0
M. Zarinejad; Y. Liu and T. J. White,Intermetallics,The crystal chemistry of martensite in NiTiHf shape memory alloys,2008.0,42.5,42.5,950.0,Ni42.5Ti42.5Hf15.0 %,15.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,46.0,39.0,850.0,Ni46.0Ti39.0Hf15.0 %,15.0
S.-W. Kim; J. W. Jo; C. H. Park; J.-K. Hong; J.-T. Yeom and H.-G. Kim,Materials Science and Engineering: A,Fracture toughness of TiNiHf alloys: A hybrid study using in-situ transmission electron microscopy experiments and finite element analyses,2016.0,46.0,39.0,850.0,Ni46.0Ti39.0Hf15.0 %,15.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,46.0,44.0,600.0,Ni46.0Ti44.0Hf10.0 %,10.0
D. N. Abujudom; M. Y. Kao; P. E. Thoma and D. R. Angst,US5114504,High transformation temperature shape memory alloy,1992.0,47.0,43.0,600.0,Ni47.0Ti43.0Hf10.0 %,10.0
